200,GI,01/01/1902 00:00:00,"Introduction to PCs
Employees will learn what a PC is and what an operating system is.
This is a 3 hour class.  Participants are required to attend training from 9am - 12pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
2000,GI,01/01/1902 00:00:00,"Access 2003- Level I
Students will learn the basic skills necessary to begin using Access 2003. They will design and create databases, tables, queries, forms and reports. This course contributes toward the Microsoft Proficiency Guidelines for Access 2003.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2001,GI,01/01/1902 00:00:00,"Word 2003- Level I
Students will learn the basic skills necessary to begin using Word 2003. 
Objectives:
Create and save a document, open an existing document and use simple editing techniques.
Navigate within a large document by using the mouse and keyboard.
Edit a document by using more sophisticated techniques, including moving and copying text within a document and between documents.
Apply and remove character and paragraph formatting.
Use tabs and create and modify a table structure.
Adjust margins, add and delete page breaks, and create headers and footers.
Use Word-s proofing tools, such as the spelling checker and thesaurus.
Print a document, envelope and labels.
Save an existing document as a Web page and preview it in a browser.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2002,GI,01/01/1902 00:00:00,"Access 2003- Level II
Students will learn how to develop an application and tie the objects together into a cohesive system by using macros and Visual Basic for Applications code.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2003,GI,01/01/1902 00:00:00,"Excel 2003 - Level I
Students will learn basic worksheet skills and how to work with data in spreadsheets.
Objectives:
Identify the disadvantages of paper spreadsheets and the advantages of electronic spreadsheets.
Create a basic worksheet by entering text, values and formulas.
Create formulas by using Excel-s built-in functions.
Move and copy data by using shortcut menus, drag-and-drop editing and toolbar buttons.
Change the appearance of worksheet data by using a variety of formatting techniques.
Prepare a document for printing by using the spell checking feature and a variety of formatting techniques.
Use the three-dimensional aspect of the Excel workbook environment by creating formulas that refer to cells on multiple worksheets.
Save an Excel workbook as a Web page.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2004,GI,01/01/1902 00:00:00,"Word 2003- Level II
Students will learn intermediate features of Word 2003.
Objectives:
Use section breaks to format a document and format text in columns.
Create, modify and use tables as page-layout elements and sort table data.
Merge a document with data to make variations of one document.
Create, modify and use styles to affect the appearance of text.
Create and use templates, including the fax template.
Create, modify and use macros.
Discuss Internet features, create and edit a Web document, and preview a Web document in a browser
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2005,GI,01/01/1902 00:00:00,"Access 2003- Level III
Students will learn how to enhance their database designs by using the principles of normalization and table relationships as well as how to query multiple tables for data used in customized forms and reports. In addition, students learn how to create data access pages to share data over an intranet or the Internet.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2006,GI,01/01/1902 00:00:00,"Excel 2003 - Level III
Students will learn various advanced techniques for analyzing and manipulating data in Excel.
Objectives:
Customize toolbars and create styles and templates.
Create decision-making functions.
Analyze worksheet data by creating pivot tables.
Compare and contrast workbook files and file links.
Outline and consolidate worksheets and analyze worksheet data by using the Scenario Manager.
Display and protect worksheet data by locking cells.
Record and modify macros by using the Visual Basic Editor.
Create and work with interactive Web documents.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2007,GI,01/01/1902 00:00:00,"Excel 2003 - Level II
Students will learn the skills and concepts necessary to create charts and to use the list-management capabilities of Excel 2003.
Objectives:
Create charts that graphically represent worksheet data.
Modify charts.
Customize chart formats.
Enhance worksheets and charts by using the drawing tools to add graphic objects.
Sort information in a list by using the -Data, Sort- command.
Locate information quickly in a list that meets specified conditions by using the advanced filter feature.
Class begins promptly at 9am. If you cannot attend this class, please send an E-mail message to james.mcbride@dc.gov
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2008,GI,01/01/1902 00:00:00,"Word 2003- Level III
Students will learn intermediate features of Word 2003.
Objectives:
Use section breaks to format a document and format text in columns.
Create, modify and use tables as page-layout elements and sort table data.
Merge a document with data to make variations of one document.
Create, modify and use styles to affect the appearance of text.
Create and use templates, including the fax template.
Create, modify and use macros.
Discuss Internet features, create and edit a Web document, and preview a Web document in a browser.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2009,GI,01/01/1902 00:00:00,"A Policy is Not Enough
"
201,GI,01/01/1902 00:00:00,"Access 2007 - Level I
Employees will learn the basic skills to begin design and create databases, tables, queries, forms, and reports.
This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
2010,GI,01/01/1902 00:00:00,"A+ Computer Repair
"
2011,GI,01/01/1902 00:00:00,"Accent Modification
"
2012,GI,01/01/1902 00:00:00,"Administering JAWS
"
2013,GI,01/01/1902 00:00:00,"Microsoft NetMeeting
"
2014,GI,01/01/1902 00:00:00,"Microsoft Windows 2000
"
2015,GI,01/01/1902 00:00:00,"Administering Win XP
"
2016,GI,01/01/1902 00:00:00,"Adobe Illustrator
"
2017,GI,01/01/1902 00:00:00,"Adobe Photoshop 6.0
Formerly ""Introduction to Adobe Photoshop"": Course 221
Participants will learn how to insert and manipulate photos and bitmaps to enhance graphics presentations.
"
2018,GI,01/01/1902 00:00:00,"Advanced WordPerfect
This 18-hour course is designed to introduce the personal computer  user to the advanced features of WordPerfect for Windows.  Participants will learn to merge documents, create envelopes, create mailing labels, and other special features such as desktop
"
2019,GI,01/01/1902 00:00:00,"Analytical & Reasoning
"
202,GI,01/01/1902 00:00:00,"Access 2007 - Level II
Employees will learn to maintain data integrity; handle complex queries, forms, and reports; and share data between Access and other applications.
This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class."
2020,GI,01/01/1902 00:00:00,"ASTD Trainer Cert Prep
"
2021,GI,01/01/1902 00:00:00,"Basic Vocabulary Dev
This 24-hour course is designed to enable participants to acquire a better understanding of what they read and hear, and to develop a more extensive vocabulary.  The participants will learn to observe unfamiliar words, divide them into units, search their
"
2022,GI,01/01/1902 00:00:00,"Basic Writing Skills I
This course, an introduction to basic writing skills, is designed to help individuals apply the principles of grammar and writing techniques to achieve effective, concise documents. Course content will include punctuation, capitalization, word usage, spelling and syntax as well as organizing and editing material in memos, reports and correspondence.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2023,GI,01/01/1902 00:00:00,"Basic Writing Skills II
This course is designed to apply the techniques learned in Basic Writing Skills I. It reviews the basic writing process and provides participants the opportunity to plan, draft and revise written materials commonly developed in the workplace.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2024,GI,01/01/1902 00:00:00,"Productive w/Windows 95/98
"
2025,GI,01/01/1902 00:00:00,"Budget & Finance II
"
2026,GI,01/01/1902 00:00:00,"Interpersonal Communications
"
2027,GI,01/01/1902 00:00:00,"Building Trust
"
2028,GI,01/01/1902 00:00:00,"Business Writing for Admin
This course is designed to help individuals apply the principles of grammar and writing techniques to achieve effective, concise documents. Course content will include punctuation, capitalization, word usage, spelling and syntax as well as organizing and editing material in memos, reports and correspondence. 
Objectives:	
Understand the writing process.
Create a simple draft.
Demonstrate the skills needed to revise written materials.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2029,GI,01/01/1902 00:00:00,"Buyer
The Procurement Automated Support System (PASS) is a technology application.  This course is designed to provide PASS users the skills needed to successfully navigate PASS, submit and approve requisitions, and receive items on a purchase order.
"
203,GI,01/01/1902 00:00:00,"Access  2007 - Level III
Employees will extend their knowledge into some of the more specialized and advanced capabilities of Access by structuring existing data, writing advanced queries, working with macros, enhancing forms and reports, and maintaining a database.
This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class."
2030,GI,01/01/1902 00:00:00,"CPM
"
2031,GI,01/01/1902 00:00:00,"Communicating and Listening
"
2032,GI,01/01/1902 00:00:00,"Communicating with Diplomacy
: Effective communications skills are essential for today-s administrative professionals. Increase your value in your agency by communicating with savoir-faire and finesse - handling sensitive issues and people with tact and diplomacy. This course will provide participants with proven techniques for communicating more effectively with senior agency and government officials, colleagues and agency clients and for handling office politics and turf wars effectively and gracefully.
Objectives:
Understand how to build a foundation of influence and credibility to handle situations with discretion and authority.
Develop strategies to increase your ability to be understood by identifying your own communication style and that of others. 
Understand how to interpret verbal and nonverbal cues. 
Learn to implement techniques that break down barriers to effective communication.
Learn how to handle sensitive information and delicate situations with tact.
Learn how to make the most of e-mail and other office technologies.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2033,GI,01/01/1902 00:00:00,"Communicating Ideas Effectivly
"
2034,GI,01/01/1902 00:00:00,"Communication Skills
"
2035,GI,01/01/1902 00:00:00,"Computer Repair (A+)
Formerly ""Introduction to A+ and Hardware Essentials"": 218
"
2036,GI,01/01/1902 00:00:00,"Conducting Annual Review
"
2037,GI,01/01/1902 00:00:00,"Conversational Spanish I
Conversational Spanish I is designed for students with little or no prior knowlegde of the language. Course content focuses on oral communications and everyday vocabulary as well as reading, some writing and basic grammar skills. Upon successful completion of this course, students will be able to understand spoken Spanish involving basic vocabulary; express basic concepts in Spanish; understand aspects of contemporay Hispanic cultures; and interact in Spanish in easy, every day life contexts.
"
2038,GI,01/01/1902 00:00:00,"Conversational Spanish II
Conversational Spanish II is intended for those with some basic knowledge of the language and provides further study of grammar and practice in conversation to improve vocabulary and fluency. The main focus is on communicative use of natural Spanish in a variety of situations. These include, but are not limited to, increasing Spanish proficiency for social situations, adding complexity to conversational skills, especially using the preterit tense, and improving vocabulary.
"
2039,GI,01/01/1902 00:00:00,"Correcting Employee Conduct
Develop the skills necessary to deal with common performance and conduct problems when supervising District employees. Topics include absenteeism, insubordination, coming to work under the influence, threatening and intimidating co-workers, sick leave abuse, contentious conduct, poor performance and workplace violence
Objectives:
Learn effective methods to document performance issues.
Develop strategies for eliminating the recurrence of performance problems.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
204,GI,01/01/1902 00:00:00,"Excel 2007 - Level I
Employees will learn how to create and edit spreadsheets, the Excel interface, navigate, and work with text, values, and formulas, print, format, create charts and databases in a spreadsheet.
This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class."
2040,GI,01/01/1902 00:00:00,"CPM Program
"
2041,GI,01/01/1902 00:00:00,"CPR/First Aid
"
2042,GI,01/01/1902 00:00:00,"CPR/First Aid/Disaster
"
2045,GI,01/01/1902 00:00:00,"Customer Service
"
2046,GI,01/01/1902 00:00:00,"Damage Assesment
"
2047,GI,01/01/1902 00:00:00,"Data Security
"
2048,GI,01/01/1902 00:00:00,"Delegating for Diehards
"
2049,GI,01/01/1902 00:00:00,"Designing Web Infrastructure
"
205,GI,01/01/1902 00:00:00,"Excel 2007 - Level II
This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class."
2050,GI,01/01/1902 00:00:00,"Designing Maps ArcGIS
In this class you will learn about the fundamentals of map-making using ArcGIS software. We will also look at the basics of cartographic design and how symbols and colors are used in maps to convey meaning.
"
2051,GI,01/01/1902 00:00:00,"Security Windows 2000 Net
"
2052,GI,01/01/1902 00:00:00,"Win2K Directory
"
2053,GI,01/01/1902 00:00:00,"Win 2000 Net Svs
"
2054,GI,01/01/1902 00:00:00,"Implementing Perf Standards
: Learn how to write understandable, measurable and effective performance standards while complying with legal requirements. You will discover how to analyze your organization-s mission and goals, identify individual and team contributions and write understandable, measurable performance standards. 
Objectives:
Understand how to draft clear performance standards.
Develop sound and reasonable methods for determining the level of performance.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2055,GI,01/01/1902 00:00:00,"Tools for GIS Analysis
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2056,GI,01/01/1902 00:00:00,"Diversity
"
2057,GI,01/01/1902 00:00:00,"Diversity
"
2058,GI,01/01/1902 00:00:00,"Language Lab
The DCHR WDA Language Laboratory is a specialized resource center that provides computer-based learning and online instruction for District government employees.  By visiting the Language Lab, employees can participate in the DCHR WDA e-Learning program.  The DCHR WDA e-Learning program is an online training environment designed to help you advance your personal and professional development. With more than 2000 online courses in the Business and Technical Series, e-Learning can give you the skills and training you need to enrich your life and career. Sign up now to access courses such as Microsoft Office, project management, customer service and other professional and management development courses in a self-directed, self-paced environment.
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2059,GI,01/01/1902 00:00:00,"Electronic Mail
This 8-hour course is designed to teach participants to create, send, access, and download electronic mail.
"
206,GI,01/01/1902 00:00:00,"Excel 2007 - Level III
This is a 1 day class.  Participants are required to attend training from 9am - 4pm.  Class begins promptly at 9am.  Employees will not be allowed to attend training after 9:15am.  Please dress in appropriate work attire, if you arrive after 9:15am you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
2060,GI,01/01/1902 00:00:00,"Empowering Leaders I
"
2061,GI,01/01/1902 00:00:00,"Empowering Leaders II
"
2062,GI,01/01/1902 00:00:00,"ePerformance Evaluation
"
2063,GI,01/01/1902 00:00:00,"E-Recruit
E-Recruit course provides an overview of the recruiting process for the District. As part of this course, participants learn how to create a job requisition, apply for an online job, create/update resumes, apply for jobs, search for qualified applicants, understand the interview process and run related reports.
"
2064,GI,01/01/1902 00:00:00,"High Impact Leadership
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2065,GI,01/01/1902 00:00:00,"Executive Leadership
"
2066,GI,01/01/1902 00:00:00,"Leadership (formerly SED100)
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2067,GI,01/01/1902 00:00:00,"Leadership Effectiveness
"
2068,GI,01/01/1902 00:00:00,"From Peer to Boss
"
2069,GI,01/01/1902 00:00:00,"Leading Others
"
207,GI,01/01/1902 00:00:00,"MS Office 2007 New Features
This is a 3 hour class.  Participants are required to attend training from 1pm - 4pm.  Class begins promptly at 1pm.  Employees will not be allowed to attend training after 1:15pm.  Please dress in appropriate work attire, if you arrive after 1:15pm you will be required to return to work.  If you cannot attend this class or you have a schedule conflict, please notify your training coordinator and WDA to cancel prior to the start of the class.
Eating and drinking are not allowed in classrooms.  WDA reserves the right to remove any student violating this policy."
2070,GI,01/01/1902 00:00:00,"General Discipline
"
2071,GI,01/01/1902 00:00:00,"GIS for ESF
Course description: A focused course on using GIS to support the District Emergency Service Functions and activities.
Objectives:
Uses of GIS in Emergency Preparedness 
Using GIS with WebEOC
How to prepare and document geospatial data according DC GIS and Federal Standards 
DC GIS and FGDC cartographic and standards 
Understanding major DC GIS data sets
Geocoding with the DC Master Address Repository 
Geospatial data sharing with other ESFs, regional and federal partners
How to secure sensitive geospatial data
Where to go for GIS support
"
2072,GI,01/01/1902 00:00:00,"GIS Prof Analyst
This is an advanced course focused on individuals that have a firm grasp on GIS concepts and applications. The course will further develop GIS skills and understanding.
"
2073,GI,01/01/1902 00:00:00,"Coaching and Feedback
Eating and drinking are not allowed in classrooms.  CWD reserves the right to remove any student violating this policy."
2074,GI,01/01/1902 00:00:00,"High Perf Teams
"
2075,GI,01/01/1902 00:00:00,"Winning Grant Proposal
"
2076,GI,01/01/1902 00:00:00,"Prof. & Persuasive Docs
This course is designed to help employees improve their writing skills with a focus on more technical materials. Participants will have the opportunity to learn how to produce clear, crisp and succinct technical reports, decision memoranda, studies and manuals.
"
2077,GI,01/01/1902 00:00:00,"Managing Personnel Functions
This 6-hour course introduces participants to HR Manager - an automated personnel management system that allows program and personnel managers to easily and quickly perform a number of personnel functions including: 1) identifying job  classifications, 2)
"
