COURSE,COURSE_DESCR_TYPE,EFFDT,DESCRLONG
"2186","GI",7/2/2010,"Technical Writing

: Effective leaders come in all shapes and sizes, but a common characteristic is a high degree of what psychologists call emotional intelligence. Truly great leaders are self aware and know how to use their emotions and those of others as a source of information to help navigate through life more effectively. An abundance of research indicates that emotional intelligence is more important than technical skills or traditional cognitive skills in shaping leadership effectiveness. Mounting evidence also suggests that an organization?s success is directly related to the emotional intelligence level of its leaders. 

As the working environment continues to change, emotional intelligence skills will become increasing important in determining who succeeds and who fails. This course will help participants develop the emotional intelligence competencies required by a position of leadership. Participants will assess, develop and apply their own emotional intelligence and will learn how to cultivate emotional intelligence in their organization."
"2029","GI",7/1/2010,"Buyer

The Procurement Automated Support System (PASS) is a technology application.  This course is designed to provide PASS users the skills needed to successfully navigate PASS, submit and approve requisitions, and receive items on a purchase order."
"2132","GI",7/2/2010,"Project 2003

Students will learn how to use Microsoft Project 2003 to assist with planning and tracking project details. This course meets the Microsoft Proficiency Guidelines for Microsoft Project 2003 at the Expert Level."
"2133","GI",7/2/2010,"Project 98

This 24-hour course is designed to provide participants with an understanding of networking fundamentals including type of cables, network protocols, configuration, trouble shooting, and network administration."
"2021","GI",7/1/2010,"Basic Vocabulary Dev

This 24-hour course is designed to enable participants to acquire a better understanding of what they read and hear, and to develop a more extensive vocabulary.  The participants will learn to observe unfamiliar words, divide them into units, search their"
"204","GI",11/16/2009,"Excel 2007 - Level I

Employees will learn how to create and edit spreadsheets, the Excel interface, navigate, and work with text, values, and formulas, print, format, create charts and databases in a spreadsheet."
"2203","GI",7/14/2010,"Wellness and Work Life

The topic of work-life balance applies to a person?s effort to be effective in both his/her work life and personal life. Demanding schedules and life?s personal responsibilities frequently leave people feeling frustrated and out of control. In the past, this topic wasn?t as important as it is today because people often were able to attend primarily to one major role in their lives (for example, working, housework), rather than to several roles (such as professional, parent) The goal of this session is to cultivate and support effective employees by providing tools to achieve and maintain suitable work-life balance. Participants will have the opportunity to evaluate their level of satisfaction in various areas of their lives and develop a plan that will create more balance."
"2123","GI",7/2/2010,"Mapping Address Data

Most of the Districts databases contain spatial information in the form of an address. Understanding how to properly place an address on the map as a point feature then manipulate the points into information will be the focus of this course."
"2163","GI",7/2/2010,"Project Mgmt Admin Prof

Gain the respect and confidence necessary for assuming more responsible roles in your agency. This course is designed for office professionals who want to sharpen their project management skills. You will learn basic project management terms, techniques and procedures; systems documentation; how to manage delivery dates, budgets and paperwork with ease; and how to anticipate, identify and solve problems. 
Objectives: 
Learn basic aspects of project management."
"2172","GI",7/2/2010,"Sexual Harassment

This course will provide participants with insights on behaviors and actions considered to be examples of sexual harassment.  Participants will also be instructed on the  policies and procedures to follow to report sexual harassment in the workplac"
